id	description	en	local
def_seat_harness_node_8_label		Seat Data	座席情報
def_seat_harness_node_8_desc		Outputs the axis, hotkey and occupied data from the seat. (On/Off 1+ : Hotkeys) (On/Off 31 : Trigger) (On/Off 32 : Occupied) (Value 1 : [$[action_left]]/[$[action_right]]) (Value 2 : [$[action_up]]/[$[action_down]]) (Value 3 : [$[action_pedal_left]]/[$[action_pedal_right]]) (Value 4 : [$[action_throttle_up]]/[$[action_throttle_down]])	座席の操作情報を出力します. (オン/オフチャンネル 1-6: 対応するホットキーの状態を出力します. 31: トリガーボタンを出力します. 32: 誰かが座っていたらオン信号を出力します.)
def_seat_helm_name		Helm	舵輪
def_seat_helm_desc		You can get in and out of the position by interacting with it using [$[action_use_seat]]. You can place a rescued survivor in any position by using [$[action_use_seat]] while carrying them.	キーボードなどで-1から1の範囲を操作できる数値信号を4個, オン/オフ信号を7個提供し, 使用している人の視点方向も出力されます. [$[action_use_seat]] を使用したり使用をやめたりします. キーの挙動などはプロパティウィンドウから設定できます.
def_seat_helm_s_desc		A steering helm with steering wheel.	使用しているプレイヤーのキーボード入力などで乗り物を操作できる舵輪です.
def_seat_helm_node_0_label		Occupied	使用中
def_seat_helm_node_0_desc		Outputs an on signal if the helm is occupied by a character.	誰かが使用しているとオン信号を出力します.
def_seat_helm_node_1_label		Trigger [$[action_trigger]]	トリガーボタン [$[action_trigger]]
def_seat_helm_node_1_desc		Outputs an on signal when [$[action_trigger]] is held, and off when it is not.	[$[action_trigger]] と連動したオン/オフ信号を出力します.
def_seat_helm_node_2_label		Look X	視点 (x軸)
def_seat_helm_node_2_desc		Outputs the character look direction in turns along the X-axis.	使用している人が向いているx軸方向を回転単位で出力します.
def_seat_helm_node_3_label		Look Y	視点 (y軸)
def_seat_helm_node_3_desc		Outputs the character look direction in turns along the Y-axis.	使用している人が向いているy軸方向を回転単位で出力します.
def_seat_helm_node_4_label		Axis 1 [$[action_left]]/[$[action_right]]	軸1 [$[action_left]]/[$[action_right]]
def_seat_helm_node_4_desc		Outputs a standard value between -1 and 1, controlled using [$[action_left]] and [$[action_right]]. [$[action_left]] causes the output value to move towards -1, and [$[action_right]] moves it towards 1.	[$[action_left]] と [$[action_right]] を押して操作した-1から1の範囲の数値出力します. [$[action_left]] を押すと数値が下がり, [$[action_right]] を押すと数値が上がります.
def_seat_helm_node_5_label		Axis 2 [$[action_up]]/[$[action_down]]	軸2 [$[action_up]]/[$[action_down]]
def_seat_helm_node_5_desc		Outputs a standard value between -1 and 1, controlled using [$[action_up]] and [$[action_down]]. [$[action_down]] causes the output value to move towards -1, and [$[action_up]] moves it towards 1.	[$[action_up]] と [$[action_down]] を押して操作した-1から1の範囲の数値出力します. [$[action_down]] を押すと数値が下がり, [$[action_up]] を押すと数値が上がります.
def_seat_helm_node_6_label		Axis 3 [$[action_pedal_left]]/[$[action_pedal_right]]	軸3 [$[action_pedal_left]]/[$[action_pedal_right]]
def_seat_helm_node_6_desc		Outputs a standard value between -1 and 1, controlled using [$[action_pedal_left]] and [$[action_pedal_right]]. [$[action_pedal_left]] causes the output value to move towards -1, and [$[action_pedal_right]] moves it towards 1.	[$[action_pedal_left]] と [$[action_pedal_right]] を押して操作した-1から1の範囲の数値出力します. [$[action_pedal_left]] を押すと数値が下がり, [$[action_pedal_right]] を押すと数値が上がります.
def_seat_helm_node_7_label		Axis 4 [$[action_throttle_up]]/[$[action_throttle_down]]	軸4 [$[action_throttle_up]]/[$[action_throttle_down]]
def_seat_helm_node_7_desc		Outputs a standard value between -1 and 1, controlled using [$[action_throttle_up]] and [$[action_throttle_down]]. [$[action_throttle_down]] causes the output value to move towards -1, and [$[action_throttle_up]] moves it towards 1.	[$[action_throttle_up]] と [$[action_throttle_down]] を押して操作した-1から1の範囲の数値出力します. [$[action_throttle_down]] を押すと数値が下がり, [$[action_throttle_up]] を押すと数値が上がります.
def_seat_helm_node_8_label		Hotkey 1 [$[action_hotkey_1]]	ホットキー1 [$[action_hotkey_1]]
def_seat_helm_node_8_desc		Outputs an on signal when [$[action_hotkey_1]] is held, and off when it is not.	[$[action_hotkey_1]] と連動したオン/オフ信号を出力します.
def_seat_helm_node_9_label		Hotkey 2 [$[action_hotkey_2]]	ホットキー2 [$[action_hotkey_2]]
def_seat_helm_node_9_desc		Outputs an on signal when [$[action_hotkey_2]] is held, and off when it is not.	[$[action_hotkey_2]] と連動したオン/オフ信号を出力します.
def_seat_helm_node_10_label		Hotkey 3 [$[action_hotkey_3]]	ホットキー3 [$[action_hotkey_3]]
def_seat_helm_node_10_desc		Outputs an on signal when [$[action_hotkey_3]] is held, and off when it is not.	[$[action_hotkey_3]] と連動したオン/オフ信号を出力します.
def_seat_helm_node_11_label		Hotkey 4 [$[action_hotkey_4]]	ホットキー4 [$[action_hotkey_4]]
def_seat_helm_node_11_desc		Outputs an on signal when [$[action_hotkey_4]] is held, and off when it is not.	[$[action_hotkey_4]] と連動したオン/オフ信号を出力します.
def_seat_helm_node_12_label		Hotkey 5 [$[action_hotkey_5]]	ホットキー5 [$[action_hotkey_5]]
def_seat_helm_node_12_desc		Outputs an on signal when [$[action_hotkey_5]] is held, and off when it is not.	[$[action_hotkey_5]] と連動したオン/オフ信号を出力します.
def_seat_helm_node_13_label		Hotkey 6 [$[action_hotkey_6]]	ホットキー6 [$[action_hotkey_6]]
def_seat_helm_node_13_desc		Outputs an on signal when [$[action_hotkey_6]] is held, and off when it is not.	[$[action_hotkey_6]] と連動したオン/オフ信号を出力します.
def_seat_helm_node_14_label		Seat data	座席情報
def_seat_helm_node_14_desc		Outputs the axis, hotkey and occupied data from the helm. (On/Off 1+ : Hotkeys) (On/Off 31 : Trigger) (On/Off 32 : Occupied) (Value 1 : [$[action_left]]/[$[action_right]]) (Value 2 : [$[action_up]]/[$[action_down]]) (Value 3 : [$[action_pedal_left]]/[$[action_pedal_right]]) (Value 4 : [$[action_throttle_up]]/[$[action_throttle_down]]) (Value 9 : Look X)  (Value 10 : Look Y)	座席の操作情報を出力します. (オン/オフチャンネル 1-6: 対応するホットキーの状態を出力します. 31: トリガーボタンを出力します. 32: 誰かが座っていたらオン信号を出力します. 数値チャンネル 1-4: 対応する軸を出力します. 9-10: それぞれ視点x軸, y軸を出力します.)
def_seat_helm_node_15_label		Headset Audio	ヘッドセット音声信号出力
def_seat_helm_node_15_desc			ヘッドセットが選択されているときに, 使用しているプレイヤーからの音声を出力します.
def_seat_helm_node_16_label		Headset Audio	ヘッドセット音声信号入力
def_seat_helm_node_16_desc			ヘッドセットが選択されているときに, 使用しているプレイヤーへ音声を再生します.
def_seat_hotas_name		Pilot Seat (HOTAS)	パイロット席 (HOTAS)
def_seat_hotas_desc		It provides 10 number outputs that produce a standard value ranging from -1 to 1, and 48 on/off outputs. You can get in and out of the pilot seat by interacting with it using [$[action_use_seat]]. Designed for use with HOTAS controllers.	キーボードなどで-1から1の範囲を操作できる数値信号を8個, オン/オフ信号を49個提供し, 座っている人の視点方向も出力されます. [$[action_use_seat]] を押して座ったり立ったりします. HOTASとはパイロットが操縦桿から手を離さずにレーダーや兵器の操作ができるシステムのことです. より多くの軸やボタンを使用するには多くのボタンを備えるゲームパッドが必要になります. キーの挙動などはプロパティウィンドウから設定できます.
def_seat_hotas_s_desc		The pilot seat lets you translate controller presses into output signals that can control logic components.	座っているプレイヤーのキーボード入力などで乗り物を操作できる座席です.
def_seat_hotas_node_0_label		Occupied	使用中
def_seat_hotas_node_0_desc		Outputs an on signal if this seat is occupied by a character.	誰かが座っているとオン信号を出力します.
def_seat_hotas_node_1_label		Trigger [$[action_trigger]]	トリガーボタン [$[action_trigger]]
def_seat_hotas_node_1_desc		Outputs an on signal when [$[action_trigger]] is held, and off when it is not.	[$[action_trigger]] と連動したオン/オフ信号を出力します.
def_seat_hotas_node_2_label		Look X	視点 (x軸)
def_seat_hotas_node_2_desc		Outputs the character look direction in turns along the X-axis.	座っている人が向いているx軸方向を回転単位で出力します.
def_seat_hotas_node_3_label		Look Y	視点 (y軸)
def_seat_hotas_node_3_desc		Outputs the character look direction in turns along the Y-axis.	座っている人が向いているy軸方向を回転単位で出力します.
def_seat_hotas_node_4_label		Axis 1 [$[action_left]]/[$[action_right]]	軸1 [$[action_left]]/[$[action_right]]
def_seat_hotas_node_4_desc		Outputs a standard value between -1 and 1, controlled using [$[action_left]] and [$[action_right]]. [$[action_left]] causes the output value to move towards -1, and [$[action_right]] moves it towards 1.	[$[action_left]] と [$[action_right]] を押して操作した-1から1の範囲の数値出力します. [$[action_left]] を押すと数値が下がり, [$[action_right]] を押すと数値が上がります.
def_seat_hotas_node_5_label		Axis 2 [$[action_up]]/[$[action_down]]	軸2 [$[action_up]]/[$[action_down]]
def_seat_hotas_node_5_desc		Outputs a standard value between -1 and 1, controlled using [$[action_up]] and [$[action_down]]. [$[action_down]] causes the output value to move towards -1, and [$[action_up]] moves it towards 1.	[$[action_up]] と [$[action_down]] を押して操作した-1から1の範囲の数値出力します. [$[action_down]] を押すと数値が下がり, [$[action_up]] を押すと数値が上がります.
def_seat_hotas_node_6_label		Axis 3 [$[action_pedal_left]]/[$[action_pedal_right]]	軸3 [$[action_pedal_left]]/[$[action_pedal_right]]
def_seat_hotas_node_6_desc		Outputs a standard value between -1 and 1, controlled using [$[action_pedal_left]] and [$[action_pedal_right]]. [$[action_pedal_left]] causes the output value to move towards -1, and [$[action_pedal_right]] moves it towards 1.	[$[action_pedal_left]] と [$[action_pedal_right]] を押して操作した-1から1の範囲の数値出力します. [$[action_pedal_left]] を押すと数値が下がり, [$[action_pedal_right]] を押すと数値が上がります.
def_seat_hotas_node_7_label		Axis 4 [$[action_throttle_up]]/[$[action_throttle_down]]	軸4 [$[action_throttle_up]]/[$[action_throttle_down]]
def_seat_hotas_node_7_desc		Outputs a standard value between -1 and 1, controlled using [$[action_throttle_up]] and [$[action_throttle_down]]. [$[action_throttle_down]] causes the output value to move towards -1, and [$[action_throttle_up]] moves it towards 1.	[$[action_throttle_up]] と [$[action_throttle_down]] を押して操作した-1から1の範囲の数値出力します. [$[action_throttle_down]] を押すと数値が下がり, [$[action_throttle_up]] を押すと数値が上がります.
def_seat_hotas_node_8_label		Axis 5	軸5
def_seat_hotas_node_8_desc		Outputs a standard value between -1 and 1, controlled using the controller axis.	対応するコントローラーの軸で操作した-1から1の範囲の数値出力をします.
def_seat_hotas_node_9_label		Axis 6	軸6
def_seat_hotas_node_9_desc		Outputs a standard value between -1 and 1, controlled using the controller axis.	対応するコントローラーの軸で操作した-1から1の範囲の数値出力をします.
def_seat_hotas_node_10_label		Axis 7	軸7
def_seat_hotas_node_10_desc		Outputs a standard value between -1 and 1, controlled using the controller axis.	対応するコントローラーの軸で操作した-1から1の範囲の数値出力をします.
def_seat_hotas_node_11_label		Axis 8	軸8
def_seat_hotas_node_11_desc		Outputs a standard value between -1 and 1, controlled using the controller axis.	対応するコントローラーの軸で操作した-1から1の範囲の数値出力をします.
def_seat_hotas_node_12_label		Hotkey 1 [$[action_hotkey_1]]	ホットキー1 [$[action_hotkey_1]]
def_seat_hotas_node_12_desc		Outputs an on signal when [$[action_hotkey_1]] is held, and off when it is not.	[$[action_hotkey_1]] と連動したオン/オフ信号を出力します.
def_seat_hotas_node_13_label		Hotkey 2 [$[action_hotkey_2]]	ホットキー2 [$[action_hotkey_2]]
def_seat_hotas_node_13_desc		Outputs an on signal when [$[action_hotkey_2]] is held, and off when it is not.	[$[action_hotkey_2]] と連動したオン/オフ信号を出力します.
def_seat_hotas_node_14_label		Hotkey 3 [$[action_hotkey_3]]	ホットキー3 [$[action_hotkey_3]]
def_seat_hotas_node_14_desc		Outputs an on signal when [$[action_hotkey_3]] is held, and off when it is not.	[$[action_hotkey_3]] と連動したオン/オフ信号を出力します.
def_seat_hotas_node_15_label		Hotkey 4 [$[action_hotkey_4]]	ホットキー4 [$[action_hotkey_4]]
def_seat_hotas_node_15_desc		Outputs an on signal when [$[action_hotkey_4]] is held, and off when it is not.	[$[action_hotkey_4]] と連動したオン/オフ信号を出力します.
def_seat_hotas_node_16_label		Hotkey 5 [$[action_hotkey_5]]	ホットキー5 [$[action_hotkey_5]]
def_seat_hotas_node_16_desc		Outputs an on signal when [$[action_hotkey_5]] is held, and off when it is not.	[$[action_hotkey_5]] と連動したオン/オフ信号を出力します.
def_seat_hotas_node_17_label		Hotkey 6 [$[action_hotkey_6]]	ホットキー6 [$[action_hotkey_16]]
def_seat_hotas_node_17_desc		Outputs an on signal when [$[action_hotkey_6]] is held, and off when it is not.	[$[action_hotkey_6]] と連動したオン/オフ信号を出力します.
def_seat_hotas_node_18_label		Hotkey 7	ホットキー7
def_seat_hotas_node_18_desc		Outputs an on signal when the controller button is held, and off when it is not.	対応するコントローラーのボタンと連動したオン/オフ信号を出力します.
def_seat_hotas_node_19_label		Hotkey 8	ホットキー8
def_seat_hotas_node_19_desc		Outputs an on signal when the controller button is held, and off when it is not.	対応するコントローラーのボタンと連動したオン/オフ信号を出力します.
def_seat_hotas_node_20_label		Hotkey 9	ホットキー9
def_seat_hotas_node_20_desc		Outputs an on signal when the controller button is held, and off when it is not.	対応するコントローラーのボタンと連動したオン/オフ信号を出力します.
def_seat_hotas_node_21_label		Hotkey 10	ホットキー10
def_seat_hotas_node_21_desc		Outputs an on signal when the controller button is held, and off when it is not.	対応するコントローラーのボタンと連動したオン/オフ信号を出力します.
def_seat_hotas_node_22_label		Hotkey 11	ホットキー11
def_seat_hotas_node_22_desc		Outputs an on signal when the controller button is held, and off when it is not.	対応するコントローラーのボタンと連動したオン/オフ信号を出力します.
def_seat_hotas_node_23_label		Hotkey 12	ホットキー12
def_seat_hotas_node_23_desc		Outputs an on signal when the controller button is held, and off when it is not.	対応するコントローラーのボタンと連動したオン/オフ信号を出力します.
def_seat_hotas_node_24_label		Hotkey 13	ホットキー13
def_seat_hotas_node_24_desc		Outputs an on signal when the controller button is held, and off when it is not.	対応するコントローラーのボタンと連動したオン/オフ信号を出力します.
def_seat_hotas_node_25_label		Hotkey 14	ホットキー14
def_seat_hotas_node_25_desc		Outputs an on signal when the controller button is held, and off when it is not.	対応するコントローラーのボタンと連動したオン/オフ信号を出力します.
def_seat_hotas_node_26_label		Hotkey 15	ホットキー15
def_seat_hotas_node_26_desc		Outputs an on signal when the controller button is held, and off when it is not.	対応するコントローラーのボタンと連動したオン/オフ信号を出力します.
def_seat_hotas_node_27_label		Hotkey 16	ホットキー16
def_seat_hotas_node_27_desc		Outputs an on signal when the controller button is held, and off when it is not.	対応するコントローラーのボタンと連動したオン/オフ信号を出力します.
def_seat_hotas_node_28_label		Hotkey 17	ホットキー17
def_seat_hotas_node_28_desc		Outputs an on signal when the controller button is held, and off when it is not.	対応するコントローラーのボタンと連動したオン/オフ信号を出力します.
def_seat_hotas_node_29_label		Hotkey 18	ホットキー18
def_seat_hotas_node_29_desc		Outputs an on signal when the controller button is held, and off when it is not.	対応するコントローラーのボタンと連動したオン/オフ信号を出力します.
def_seat_hotas_node_30_label		Hotkey 19	ホットキー19
def_seat_hotas_node_30_desc		Outputs an on signal when the controller button is held, and off when it is not.	対応するコントローラーのボタンと連動したオン/オフ信号を出力します.
def_seat_hotas_node_31_label		Hotkey 20	ホットキー20
def_seat_hotas_node_31_desc		Outputs an on signal when the controller button is held, and off when it is not.	対応するコントローラーのボタンと連動したオン/オフ信号を出力します.
def_seat_hotas_node_32_label		Hotkey 21	ホットキー21
def_seat_hotas_node_32_desc		Outputs an on signal when the controller button is held, and off when it is not.	対応するコントローラーのボタンと連動したオン/オフ信号を出力します.
def_seat_hotas_node_33_label		Hotkey 22	ホットキー22
def_seat_hotas_node_33_desc		Outputs an on signal when the controller button is held, and off when it is not.	対応するコントローラーのボタンと連動したオン/オフ信号を出力します.
def_seat_hotas_node_34_label		Hotkey 23	ホットキー23
def_seat_hotas_node_34_desc		Outputs an on signal when the controller button is held, and off when it is not.	対応するコントローラーのボタンと連動したオン/オフ信号を出力します.
def_seat_hotas_node_35_label		Hotkey 24	ホットキー24
def_seat_hotas_node_35_desc		Outputs an on signal when the controller button is held, and off when it is not.	対応するコントローラーのボタンと連動したオン/オフ信号を出力します.
def_seat_hotas_node_36_label		Hotkey 25	ホットキー25
def_seat_hotas_node_36_desc		Outputs an on signal when the controller button is held, and off when it is not.	対応するコントローラーのボタンと連動したオン/オフ信号を出力します.
def_seat_hotas_node_37_label		Hotkey 26	ホットキー26
def_seat_hotas_node_37_desc		Outputs an on signal when the controller button is held, and off when it is not.	対応するコントローラーのボタンと連動したオン/オフ信号を出力します.
def_seat_hotas_node_38_label		Hotkey 27	ホットキー27
def_seat_hotas_node_38_desc		Outputs an on signal when the controller button is held, and off when it is not.	対応するコントローラーのボタンと連動したオン/オフ信号を出力します.
def_seat_hotas_node_39_label		Hotkey 28	ホットキー28
def_seat_hotas_node_39_desc		Outputs an on signal when the controller button is held, and off when it is not.	対応するコントローラーのボタンと連動したオン/オフ信号を出力します.
def_seat_hotas_node_40_label		Hotkey 29	ホットキー29
def_seat_hotas_node_40_desc		Outputs an on signal when the controller button is held, and off when it is not.	対応するコントローラーのボタンと連動したオン/オフ信号を出力します.
def_seat_hotas_node_41_label		Hotkey 30	ホットキー30
def_seat_hotas_node_41_desc		Outputs an on signal when the controller button is held, and off when it is not.	対応するコントローラーのボタンと連動したオン/オフ信号を出力します.
def_seat_hotas_node_42_label		Hotkey 31	ホットキー31
def_seat_hotas_node_42_desc		Outputs an on signal when the controller button is held, and off when it is not.	対応するコントローラーのボタンと連動したオン/オフ信号を出力します.
def_seat_hotas_node_43_label		Hotkey 32	ホットキー32
def_seat_hotas_node_43_desc		Outputs an on signal when the controller button is held, and off when it is not.	対応するコントローラーのボタンと連動したオン/オフ信号を出力します.
def_seat_hotas_node_44_label		Hotkey 33	ホットキー33
def_seat_hotas_node_44_desc		Outputs an on signal when the controller button is held, and off when it is not.	対応するコントローラーのボタンと連動したオン/オフ信号を出力します.
def_seat_hotas_node_45_label		Hotkey 34	ホットキー34
def_seat_hotas_node_45_desc		Outputs an on signal when the controller button is held, and off when it is not.	対応するコントローラーのボタンと連動したオン/オフ信号を出力します.
def_seat_hotas_node_46_label		Hotkey 35	ホットキー35
def_seat_hotas_node_46_desc		Outputs an on signal when the controller button is held, and off when it is not.	対応するコントローラーのボタンと連動したオン/オフ信号を出力します.
def_seat_hotas_node_47_label		Hotkey 36	ホットキー36
def_seat_hotas_node_47_desc		Outputs an on signal when the controller button is held, and off when it is not.	対応するコントローラーのボタンと連動したオン/オフ信号を出力します.
def_seat_hotas_node_48_label		Hotkey 37	ホットキー37
def_seat_hotas_node_48_desc		Outputs an on signal when the controller button is held, and off when it is not.	対応するコントローラーのボタンと連動したオン/オフ信号を出力します.
def_seat_hotas_node_49_label		Hotkey 38	ホットキー38
def_seat_hotas_node_49_desc		Outputs an on signal when the controller button is held, and off when it is not.	対応するコントローラーのボタンと連動したオン/オフ信号を出力します.
def_seat_hotas_node_50_label		Hotkey 39	ホットキー39
def_seat_hotas_node_50_desc		Outputs an on signal when the controller button is held, and off when it is not.	対応するコントローラーのボタンと連動したオン/オフ信号を出力します.
def_seat_hotas_node_51_label		Hotkey 40	ホットキー40
def_seat_hotas_node_51_desc		Outputs an on signal when the controller button is held, and off when it is not.	対応するコントローラーのボタンと連動したオン/オフ信号を出力します.
def_seat_hotas_node_52_label		Hotkey 41	ホットキー41
def_seat_hotas_node_52_desc		Outputs an on signal when the controller button is held, and off when it is not.	対応するコントローラーのボタンと連動したオン/オフ信号を出力します.
def_seat_hotas_node_53_label		Hotkey 42	ホットキー42
def_seat_hotas_node_53_desc		Outputs an on signal when the controller button is held, and off when it is not.	対応するコントローラーのボタンと連動したオン/オフ信号を出力します.
def_seat_hotas_node_54_label		Hotkey 43	ホットキー43
def_seat_hotas_node_54_desc		Outputs an on signal when the controller button is held, and off when it is not.	対応するコントローラーのボタンと連動したオン/オフ信号を出力します.
def_seat_hotas_node_55_label		Hotkey 44	ホットキー44
def_seat_hotas_node_55_desc		Outputs an on signal when the controller button is held, and off when it is not.	対応するコントローラーのボタンと連動したオン/オフ信号を出力します.
def_seat_hotas_node_56_label		Hotkey 45	ホットキー45
def_seat_hotas_node_56_desc		Outputs an on signal when the controller button is held, and off when it is not.	対応するコントローラーのボタンと連動したオン/オフ信号を出力します.
def_seat_hotas_node_57_label		Hotkey 46	ホットキー46
def_seat_hotas_node_57_desc		Outputs an on signal when the controller button is held, and off when it is not.	対応するコントローラーのボタンと連動したオン/オフ信号を出力します.
def_seat_hotas_node_58_label		Hotkey 47	ホットキー47
def_seat_hotas_node_58_desc		Outputs an on signal when the controller button is held, and off when it is not.	対応するコントローラーのボタンと連動したオン/オフ信号を出力します.
def_seat_hotas_node_59_label		Hotkey 48	ホットキー48
def_seat_hotas_node_59_desc		Outputs an on signal when the controller button is held, and off when it is not.	対応するコントローラーのボタンと連動したオン/オフ信号を出力します.
def_seat_hotas_node_60_label		Seat data	座席情報
def_seat_hotas_node_60_desc		Outputs the axis, hotkey and occupied data from the seat. (On/Off 1+ : Hotkeys) (On/Off 31 : Trigger) (On/Off 32 : Occupied) (Value 1 : [$[action_left]]/[$[action_right]]) (Value 2 : [$[action_up]]/[$[action_down]]) (Value 3 : [$[action_pedal_left]]/[$[action_pedal_right]]) (Value 4 : [$[action_throttle_up]]/[$[action_throttle_down]]) (Values 5/6/7/8 : Controller Axes) (Value 9 : Look X)  (Value 10 : Look Y)	座席の操作情報を出力します. 一部のホットキーは出力されません. (オン/オフチャンネル 1-30: 対応するホットキーの状態を出力します. 31: トリガーボタンを出力します. 32: 誰かが座っていたらオン信号を出力します. 数値チャンネル 1-8: 対応する軸を出力します. 9-10: それぞれ視点x軸, y軸を出力します.)
def_seat_hotas_node_61_label		Headset Audio	ヘッドセット音声信号出力
def_seat_hotas_node_61_desc			ヘッドセットが選択されているときに, 使用しているプレイヤーからの音声を出力します.
def_seat_hotas_node_62_label		Headset Audio	ヘッドセット音声信号入力
def_seat_hotas_node_62_desc			ヘッドセットが選択されているときに, 使用しているプレイヤーへ音声を再生します.
def_seat_medical_name		Medical Bed	医療用ベッド
def_seat_medical_desc		You can get in and out of the medical bed by interacting with it using [$[action_use_seat]]. You can place a rescued survivor in any medical bed by using [$[action_use_seat]] while carrying them.	[$[action_use_seat]] を押して寝たり起きたりします. 意識がある人を担いでいる時に [$[action_use_seat]] を押してその人を寝かせます. 医療用ベッドに寝ている人は体力の回復が早くなります. 医療用ベッドでは時間の早送りができません.
def_seat_medical_s_desc		A bed equiped with medical monitoring equipment, slowly heals injured characters.	医療設備が付属しているベッドです. 患者をゆっくりと治療します.
def_seat_medical_node_0_label		Occupied	使用中
def_seat_medical_node_0_desc		Outputs an on signal if this bed is occupied by a character.	誰かが寝ているとオン信号を出力します.
def_seat_padded_name		Padded Seat	座席 (簡易)
def_seat_padded_desc		You can get in and out of the seat by interacting with it using [$[action_use_seat]]. You can place a rescued survivor in any seat by using [$[action_use_seat]] while carrying them.	[$[action_use_seat]] を押して座ったり立ったりします. 意識がある人を担いでいる時に [$[action_use_seat]] を押すとその人を座らせます.
def_seat_padded_s_desc		A small padded passenger seat.	小さい簡易的な座席です.
def_seat_padded_node_0_label		Occupied	使用中
def_seat_padded_node_0_desc		Outputs an on signal if this seat is occupied by a character.	誰かが座っているとオン信号を出力します.
def_seat_passenger_name		Passenger Seat	座席
def_seat_passenger_desc		You can get in and out of the seat by interacting with it using [$[action_use_seat]]. You can place a rescued survivor in any seat by using [$[action_use_seat]] while carrying them.	[$[action_use_seat]] を押して座ったり立ったりします. 意識がある人を担いでいる時に [$[action_use_seat]] を押すとその人を座らせます.
def_seat_passenger_s_desc		A basic passenger seat.	基本的な座席です.
def_seat_passenger_node_0_label		Occupied	使用中
def_seat_passenger_node_0_desc		Outputs an on signal if this seat is occupied by a character.	誰かが座っているとオン信号を出力します.
def_seat_racing_name		Driver seat	運転席
def_seat_racing_desc		It provides 4 number outputs that produce a standard value ranging from -1 to 1, and 6 on/off outputs. You can get in and out of the driver seat by interacting with it using [$[action_use_seat]].	キーボードなどで-1から1の範囲を操作できる数値信号を4個, オン/オフ信号を7個提供し, 座っている人の視点方向も出力されます. [$[action_use_seat]] を押して座ったり立ったりします. キーの挙動などはプロパティウィンドウから設定できます.
def_seat_racing_s_desc		The driver seat lets you translate keyboard presses into output signals that can control logic components.	座っているプレイヤーのキーボード入力などで乗り物を操作できる座席です.
def_seat_racing_node_0_label		Occupied	使用中
def_seat_racing_node_0_desc		Outputs an on signal if this seat is occupied by a character.	誰かが座っているとオン信号を出力します.
def_seat_racing_node_1_label		Trigger [$[action_trigger]]	トリガーボタン [$[action_trigger]]
def_seat_racing_node_1_desc		Outputs an on signal when [$[action_trigger]] is held, and off when it is not.	[$[action_trigger]] と連動したオン/オフ信号を出力します.
def_seat_racing_node_2_label		Look X	視点 (x軸)
def_seat_racing_node_2_desc		Outputs the character look direction in turns along the X-axis.	座っている人が向いているx軸方向を回転単位で出力します.
def_seat_racing_node_3_label		Look Y	視点 (y軸)
def_seat_racing_node_3_desc		Outputs the character look direction in turns along the Y-axis.	座っている人が向いているy軸方向を回転単位で出力します.
def_seat_racing_node_4_label		Axis 1 [$[action_left]]/[$[action_right]]	軸1 [$[action_left]]/[$[action_right]]
def_seat_racing_node_4_desc		Outputs a standard value between -1 and 1, controlled using [$[action_left]] and [$[action_right]]. [$[action_left]] causes the output value to move towards -1, and [$[action_right]] moves it towards 1.	[$[action_left]] と [$[action_right]] を押して操作した-1から1の範囲の数値出力します. [$[action_left]] を押すと数値が下がり, [$[action_right]] を押すと数値が上がります.
def_seat_racing_node_5_label		Axis 2 [$[action_up]]/[$[action_down]]	軸2 [$[action_up]]/[$[action_down]]
def_seat_racing_node_5_desc		Outputs a standard value between -1 and 1, controlled using [$[action_up]] and [$[action_down]]. [$[action_down]] causes the output value to move towards -1, and [$[action_up]] moves it towards 1.	[$[action_up]] と [$[action_down]] を押して操作した-1から1の範囲の数値出力します. [$[action_down]] を押すと数値が下がり, [$[action_up]] を押すと数値が上がります.
def_seat_racing_node_6_label		Axis 3 [$[action_pedal_left]]/[$[action_pedal_right]]	軸3 [$[action_pedal_left]]/[$[action_pedal_right]]
def_seat_racing_node_6_desc		Outputs a standard value between -1 and 1, controlled using [$[action_pedal_left]] and [$[action_pedal_right]]. [$[action_pedal_left]] causes the output value to move towards -1, and [$[action_pedal_right]] moves it towards 1.	[$[action_pedal_left]] と [$[action_pedal_right]] を押して操作した-1から1の範囲の数値出力します. [$[action_pedal_left]] を押すと数値が下がり, [$[action_pedal_right]] を押すと数値が上がります.
def_seat_racing_node_7_label		Axis 4 [$[action_throttle_up]]/[$[action_throttle_down]]	軸4 [$[action_throttle_up]]/[$[action_throttle_down]]
def_seat_racing_node_7_desc		Outputs a standard value between -1 and 1, controlled using [$[action_throttle_up]] and [$[action_throttle_down]]. [$[action_throttle_down]] causes the output value to move towards -1, and [$[action_throttle_up]] moves it towards 1.	[$[action_throttle_up]] と [$[action_throttle_down]] を押して操作した-1から1の範囲の数値出力します. [$[action_throttle_down]] を押すと数値が下がり, [$[action_throttle_up]] を押すと数値が上がります.
def_seat_racing_node_8_label		Hotkey 1 [$[action_hotkey_1]]	ホットキー1 [$[action_hotkey_1]]
def_seat_racing_node_8_desc		Outputs an on signal when [$[action_hotkey_1]] is held, and off when it is not.	[$[action_hotkey_1]] と連動したオン/オフ信号を出力します.
def_seat_racing_node_9_label		Hotkey 2 [$[action_hotkey_2]]	ホットキー2 [$[action_hotkey_2]]
def_seat_racing_node_9_desc		Outputs an on signal when [$[action_hotkey_2]] is held, and off when it is not.	[$[action_hotkey_2]] と連動したオン/オフ信号を出力します.
